Quarter,y_lso,pi_lso,i_lso,r_lso,z_lso,res_lso,prem_lso,y_zaf,pi_zaf,i_zaf
19,-0.03263037101452199,-0.004334165557460632,0.01417976472942514,0.01970627578457265,0.04310414260899552,-0.00508504371240015,0.002542521856200204,0.001289239804546774,0.003823427196169848,0.01163724287322494
20,-0.03365860585717246,-0.005526511055147505,0.01854499795067124,0.02501510274176664,0.03872324076416186,-0.01776203430947909,0.008881017154739507,0.001095376385827238,0.002888140409145592,0.009663980795931735
21,-0.03440443615408441,-0.006470104791095392,0.02218982721086232,0.02936558318179275,0.03487337213785872,-0.02849090482325334,0.0142454524116268,0.0009220298604401873,0.002131004247425691,0.007944374799235522
22,-0.03490180222752662,-0.007175755970930425,0.02524295614322003,0.03291765056767217,0.03151864808936515,-0.03752837122344843,0.01876418561172426,0.0007943428962567275,0.001549694585951213,0.006478770531495764
23,-0.03519154111153702,-0.007674694424452136,0.02780951574550856,0.03581744791748456,0.02859555597542289,-0.04510754708908582,0.02255377354454281,0.0007098137551645018,0.001123190853432101,0.005255742200965743
24,-0.03531639623935325,-0.008007932171975991,0.02996844030357962,0.03818573234807283,0.02603956741345964,-0.05143083652725799,0.0257154182636291,0.0006542749919975046,0.000821166887862299,0.004253022039950514
25,-0.03531643234038916,-0.008217292044493214,0.03177699359402621,0.04011650354166189,0.0237969303368563,-0.05667116492493296,0.02833558246246659,0.0006122124175841353,0.0006118160406040581,0.003441411131559622
26,-0.03522596565079583,-0.008339509947635673,0.03327762768211626,0.0416810740168459,0.02182702849317215,-0.06097668577974336,0.03048834288987171,0.0005719881084834782,0.000466981465063264,0.002789284792244552
27,-0.0350722165924056,-0.008403446334729637,0.03450428719415246,0.04293399900921376,0.02009994825106466,-0.06447596003870792,0.03223798001935395,0.0005273542098167674,0.0003646078133717452,0.002266307174798517
28,-0.03487537317371735,-0.008429711815061289,0.03548687843493693,0.0439186597930627,0.01859254371610274,-0.06728214651209186,0.03364107325604595,0.0004767779492679558,0.0002891314783680258,0.001845805178890977
29,-0.03464955267659486,-0.008431781358125768,0.03625371630713974,0.04467147288492036,0.01728490762152722,-0.06949580230131769,0.03474790115065907,0.0004218390858626227,0.0002306068110229236,0.001505815156480669
30,-0.03440416110130506,-0.008417756577780617,0.03683235339963899,0.04522452214687813,0.0161580471034348,-0.07120648447271005,0.03560324223635521,0.0003655511241124388,0.000183283697545628,0.001229111163283791
31,-0.03414527131332178,-0.008392168747239128,0.03724939890644989,0.04560687416887202,0.01519283494065668,-0.07249357438010495,0.03624678719005267,0.000311057735262983,0.0001441490810912961,0.001002611716397221
32,-0.03387679307130465,-0.008357475262422125,0.03752989412886282,0.04584501323411736,0.0143699315136312,-0.07342674614329692,0.03671337307164854,0.0002608485317730661,0.0001117230054040162,0.0008165210572142869
33,-0.03360134259109539,-0.008315119105254525,0.03769665458092124,0.04596282140416418,0.0136702603959661,-0.0740663882902215,0.0370331941451108,0.0002164469337059093,8.521654251930227e-05,0.0006634604358104446
34,-0.03332081423896101,-0.00826616682324292,0.03776980840721539,0.04598142498868358,0.01307566695971605,-0.07446414699449999,0.03723207349725019,0.0001784342491470716,6.40367364973104e-05,0.0005377349099652115
35,-0.03303670954682204,-0.008211616581468168,0.0377666100474344,0.04591909988099102,0.01256950577830024,-0.07466363973269008,0.0373318198663451,0.0001466588336464707,4.756080523731857e-05,0.0004347901810893162
36,-0.0327502968745956,-0.008152489833556613,0.03770150779853084,0.04579131619723884,0.0121370274910905,-0.07470130947954612,0.03735065473977289,0.0001205056987058331,3.508438509226442e-05,0.0003508530587579581
37,-0.03246267050792794,-0.008089808398707985,0.03758639363426347,0.04561092504503427,0.01176553550632695,-0.07460735225289561,0.03730367612644783,9.914439824652904e-05,2.585922827397888e-05,0.0002827175078156583
38,-0.03217476205872457,-0.008024531410770792,0.03743095173142488,0.04538844853397243,0.0114443457622034,-0.07440664529214924,0.03720332264607448,8.171434566108553e-05,1.915910391033003e-05,0.0002276290853503999
39,-0.0318873382638545,-0.007957496802547549,0.03724303377699188,0.04513242098564781,0.01116461108444991,-0.07411961675620216,0.03705980837810127,6.743816614721037e-05,1.433776341605488e-05,0.0001832253988906213
40,-0.03160100285179089,-0.007889387208655913,0.03702901106723388,0.04484973438523861,0.01091907462890244,-0.07376301924372708,0.03688150962186371,5.567285900445495e-05,1.086350429178723e-05,0.0001475014453701774
