Quarter,y_lso,pi_lso,i_lso,r_lso,z_lso,res_lso,prem_lso,y_zaf,pi_zaf,i_zaf
17,0.2408928383090211,0.06450376148422618,-0.2402951133165841,-0.2985583209430924,-0.1000823967641247,0.6977452301067215,-0.2442108305373526,0.0001600169574615416,0.004280551906970615,0.003915717220768442
18,0.2257103266526577,0.05826320762650829,-0.2275013619885923,-0.2806337577189063,-0.09544017094801899,0.6579954261252867,-0.2302983991438504,-0.0017417358962532,0.001835625963343576,0.002797037155258058
19,0.2116979431696495,0.05313239573031406,-0.2157469517548515,-0.2648025872929317,-0.08945209774981701,0.6208279347971635,-0.2172897771790072,-0.002489371796085685,0.0002079099379013789,0.001542825424155658
20,0.1988228724752797,0.04905563553808015,-0.2044470599613657,-0.2502654277883014,-0.0830855345607794,0.5855807706423919,-0.2049532697248372,-0.00242703698573279,-0.0006500825807400958,0.0005062097634714836
21,0.1869804545763176,0.04581836782693568,-0.1933598062540219,-0.2365239242222162,-0.0769990280091282,0.5519483539463863,-0.1931819238812353,-0.001924620251697304,-0.0009267458171440605,-0.0001778823727866422
22,0.1760374016213462,0.04316411796819433,-0.1824669597813998,-0.2233334194619714,-0.07153482314451443,0.5198532269544858,-0.1819486294340701,-0.00128156291789937,-0.0008452324371425473,-0.0005183303473297055
23,0.1658628862209804,0.04086645968057165,-0.1718621974756155,-0.2106233772398657,-0.06678671721396531,0.489328351202392,-0.1712649229208371,-0.0006922761417035561,-0.000599261874673781,-0.0005972745547784758
24,0.1563459700070647,0.03876117976425019,-0.1616680188852118,-0.1984181924549654,-0.06269206248354514,0.4604315312463418,-0.1611510359362196,-0.0002514893713712725,-0.0003253127375163182,-0.0005169829489921781
25,0.1474016634682109,0.03675017356975363,-0.151986109639513,-0.1867755216641271,-0.05911581101502646,0.4331959968667709,-0.1516185989033698,2.062779076342495e-05,-0.0001002422972994167,-0.0003675107361431943
26,0.1389694027464,0.03478941202461407,-0.142876298995996,-0.1757473315832981,-0.05591154891316938,0.4076111404846019,-0.1426638991696106,0.0001485199379347847,4.706133801370745e-05,-0.0002123998263854794
27,0.1310076691920902,0.0328710325873021,-0.13435524115096,-0.1653614241893276,-0.05295673079773219,0.3836234911100922,-0.1342682218885322,0.0001754054907076397,0.0001191152892791891,-8.701926242781379e-05
28,0.1234876129958958,0.03100618303836756,-0.1264057855787035,-0.1556177618062356,-0.05016638242433365,0.3611481612384022,-0.1264018564334408,0.0001453379506654024,0.0001342797893932452,-3.929145262626877e-06
29,0.1163874456277308,0.0292119762275322,-0.1189899051386039,-0.1464933480207945,-0.04749230783773585,0.3400832598418626,-0.1190291409446517,9.342519553436521e-05,0.000115114820599155,3.923580604782707e-05
30,0.1096883900295334,0.02750344288219069,-0.1120606269476957,-0.1379504917106979,-0.04491473929054584,0.3203226262089967,-0.1121129191731488,4.254014807390379e-05,8.134537480700115e-05,5.229222545303759e-05
31,0.1033722819596601,0.0258898647630022,-0.1055707758255927,-0.1299449834168278,-0.04243178158569982,0.3017647853752603,-0.1056176748813411,4.208450614592634e-06,4.679427308680571e-05,4.689905574839295e-05
32,0.09742052284140409,0.02437420759123514,-0.09947807300318066,-0.122432374652504,-0.04004998094905756,0.2843178413134444,-0.09951124445970545,-1.847346033660413e-05,1.907688088376684e-05,3.317145652476383e-05
33,0.09181393889323668,0.0229543016493233,-0.09374715049929838,-0.1153718258448577,-0.03777754321472053,0.2679010514668168,-0.09376536801338591,-2.747504835592589e-05,8.169260137750299e-07,1.82175140874935e-05
34,0.08653311948636334,0.02162467534555929,-0.08834945728908901,-0.1087277795665716,-0.03562043305727748,0.2524442092845511,-0.08835547324959292,-2.696238080021065e-05,-8.604526031915945e-06,6.015960503876812e-06
35,0.08155890913619111,0.02037832227748256,-0.08326203922741457,-0.1024700770895726,-0.03358084880418497,0.2378859182732791,-0.08326007139564771,-2.131353900895137e-05,-1.140500656559367e-05,-1.967831766888825e-06
36,0.07687285128616723,0.01920803786215804,-0.07846596229153739,-0.09657319121863994,-0.03165728670196772,0.2241715810872069,-0.07846005338052232,-1.403297978965423e-05,-1.017495938415711e-05,-5.908911015110391e-06
37,0.07245749079871924,0.01810722892710255,-0.07394486737407814,-0.09101512921708782,-0.02984543144523562,0.2112516089890759,-0.07393806314617667,-7.376411247687687e-06,-7.143772577650978e-06,-6.804227901504081e-06
38,0.06829651929987281,0.01707026184300969,-0.06968388872429139,-0.08577637462117203,-0.0281392886351225,0.1990800775237389,-0.0696780271333087,-2.431551459659504e-06,-3.867981958915007e-06,-5.861590982708728e-06
39,0.06437479133284921,0.01609248589688066,-0.06566898149210339,-0.08083905752959711,-0.02653219718458462,0.1876138563619021,-0.06566484972666567,5.79262023541567e-07,-1.21193633201779e-06,-4.131765437738043e-06
40,0.06067825593614985,0.01517007603749376,-0.06188659487625231,-0.07618640618011079,-0.0250175564445789,0.1768121298810872,-0.06188424545838046,1.946594415440715e-06,5.120534559113707e-07,-2.349417871877181e-06
